datetime,rotation_speed,timer_minutes,timer_seconds,heart_rate
2025-06-26 16:41:13,0,0,0,
2025-06-26 16:41:14,0,0,0,25
2025-06-26 16:41:15,0,0,0,35
2025-06-26 16:41:15,0,0,0,42
2025-06-26 16:41:16,0,0,0,47
2025-06-26 16:41:17,0,0,0,51
2025-06-26 16:41:18,0,0,0,53
2025-06-26 16:41:19,0,0,0,64
2025-06-26 16:41:20,0,0,0,68
2025-06-26 16:41:21,0,0,0,72
2025-06-26 16:41:22,0,0,0,77
2025-06-26 16:41:23,0,0,0,86
2025-06-26 16:41:23,0,0,0,91
2025-06-26 16:41:24,0,0,0,96
2025-06-26 16:41:25,0,0,0,95
2025-06-26 16:41:26,0,0,0,93
2025-06-26 16:41:27,0,0,0,94
2025-06-26 16:41:28,0,0,0,94
2025-06-26 16:41:29,0,0,0,93
2025-06-26 16:41:30,0,0,0,92
2025-06-26 16:41:30,0,0,0,94
2025-06-26 16:41:31,0,0,0,97
2025-06-26 16:41:32,0,0,0,95
2025-06-26 16:41:33,0,0,0,96
2025-06-26 16:41:34,0,0,0,96
2025-06-26 16:41:35,0,0,0,96
2025-06-26 16:41:36,0,0,0,96
2025-06-26 16:41:37,0,0,0,96
2025-06-26 16:41:37,0,0,0,98
2025-06-26 16:41:38,0,0,0,98
2025-06-26 16:41:39,0,0,0,97
2025-06-26 16:41:40,0,0,0,96
2025-06-26 16:41:41,0,0,0,95
2025-06-26 16:41:42,0,0,0,95
2025-06-26 16:41:43,0,0,0,95
2025-06-26 16:41:44,0,0,0,95
2025-06-26 16:41:45,0,0,0,95
2025-06-26 16:41:45,0,0,0,95
2025-06-26 16:41:46,0,0,0,95
2025-06-26 16:41:47,0,0,0,95
2025-06-26 16:41:48,0,0,0,95
2025-06-26 16:41:49,0,0,0,95
2025-06-26 16:41:50,0,0,0,95
2025-06-26 16:41:51,0,0,0,96
2025-06-26 16:41:52,0,0,0,96
2025-06-26 16:41:52,0,0,0,96
2025-06-26 16:41:53,0,0,0,97
2025-06-26 16:41:54,0,0,0,98
2025-06-26 16:41:55,0,0,0,98
2025-06-26 16:41:56,0,0,0,98
2025-06-26 16:41:57,0,0,0,98
2025-06-26 16:41:58,0,0,0,98
2025-06-26 16:41:59,0,0,0,97
2025-06-26 16:41:59,0,0,0,97
2025-06-26 16:42:00,0,0,0,97
2025-06-26 16:42:01,0,0,0,97
2025-06-26 16:42:02,0,0,0,97
2025-06-26 16:42:03,0,0,0,98
2025-06-26 16:42:04,0,0,0,98
2025-06-26 16:42:05,0,0,0,99
2025-06-26 16:42:06,0,0,0,99
2025-06-26 16:42:07,0,0,0,100
2025-06-26 16:42:07,0,0,0,100
2025-06-26 16:42:08,0,0,0,100
2025-06-26 16:42:09,0,0,0,101
2025-06-26 16:42:10,0,0,0,102
2025-06-26 16:42:11,0,0,0,102
2025-06-26 16:42:12,0,0,0,103
2025-06-26 16:42:13,0,0,0,103
2025-06-26 16:42:14,0,0,0,103
2025-06-26 16:42:14,0,0,0,103
2025-06-26 16:42:15,0,0,0,102
2025-06-26 16:42:16,0,0,0,102
2025-06-26 16:42:17,0,0,0,101
2025-06-26 16:42:18,0,0,0,100
2025-06-26 16:42:19,0,0,0,100
2025-06-26 16:42:20,0,0,0,99
2025-06-26 16:42:21,0,0,0,99
2025-06-26 16:42:21,0,0,0,98
2025-06-26 16:42:22,0,0,0,98
2025-06-26 16:42:23,0,0,0,98
2025-06-26 16:42:24,0,0,0,97
2025-06-26 16:42:25,0,0,0,96
2025-06-26 16:42:26,0,0,0,96
2025-06-26 16:42:27,0,0,0,95
2025-06-26 16:42:28,0,0,0,94
2025-06-26 16:42:29,0,0,0,94
2025-06-26 16:42:29,0,0,0,93
2025-06-26 16:42:30,0,0,0,92
2025-06-26 16:42:31,0,0,0,92
2025-06-26 16:42:32,0,0,0,92
2025-06-26 16:42:33,0,0,0,92
2025-06-26 16:42:34,0,0,0,91
2025-06-26 16:42:35,0,0,0,91
2025-06-26 16:42:36,0,0,0,90
2025-06-26 16:42:36,0,0,0,89
2025-06-26 16:42:37,0,0,0,89
2025-06-26 16:42:38,0,0,0,90
2025-06-26 16:42:39,0,0,0,90
2025-06-26 16:42:40,0,0,0,91
2025-06-26 16:42:41,0,0,0,92
2025-06-26 16:42:42,0,0,0,92
2025-06-26 16:42:43,0,0,0,92
2025-06-26 16:42:43,0,0,0,92
2025-06-26 16:42:44,0,0,0,92
2025-06-26 16:42:45,0,0,0,92
2025-06-26 16:42:46,0,0,0,92
2025-06-26 16:42:47,0,0,0,93
2025-06-26 16:42:48,0,0,0,93
2025-06-26 16:42:49,0,0,0,93
2025-06-26 16:42:50,0,0,0,94
2025-06-26 16:42:51,0,0,0,94
2025-06-26 16:42:51,0,0,0,93
2025-06-26 16:42:52,0,0,0,93
2025-06-26 16:42:53,0,0,0,93
2025-06-26 16:42:54,0,0,0,93
2025-06-26 16:42:55,0,0,0,93
2025-06-26 16:42:56,0,0,0,94
2025-06-26 16:42:57,0,0,0,96
2025-06-26 16:42:58,0,0,0,96
2025-06-26 16:42:58,0,0,0,97
2025-06-26 16:42:59,0,0,0,97
2025-06-26 16:43:00,0,0,0,98
2025-06-26 16:43:01,0,0,0,99
2025-06-26 16:43:02,0,0,0,99
2025-06-26 16:43:03,0,0,0,100
2025-06-26 16:43:04,0,0,0,101
2025-06-26 16:43:05,0,0,0,101
2025-06-26 16:43:05,0,0,0,101
2025-06-26 16:43:06,0,0,0,101
2025-06-26 16:43:07,0,0,0,100
2025-06-26 16:43:08,0,0,0,99
2025-06-26 16:43:09,0,0,0,97
2025-06-26 16:43:10,0,0,0,96
2025-06-26 16:43:11,0,0,0,95
2025-06-26 16:43:12,0,0,0,95
2025-06-26 16:43:13,0,0,0,93
2025-06-26 16:43:13,0,0,0,92
2025-06-26 16:43:14,,,,
2025-06-26 16:43:24,,,,
2025-06-26 16:43:34,,,,
2025-06-26 16:43:43,,,,
2025-06-26 16:43:53,,,,
2025-06-26 16:44:03,,,,
2025-06-26 16:44:13,,,,
2025-06-26 16:44:22,,,,
2025-06-26 16:44:32,,,,
2025-06-26 16:44:42,,,,
2025-06-26 16:44:51,,,,
2025-06-26 16:45:01,,,,
2025-06-26 16:45:11,,,,
2025-06-26 16:45:21,,,,
2025-06-26 16:45:30,,,,
2025-06-26 16:45:40,,,,
2025-06-26 16:45:50,,,,
2025-06-26 16:45:59,,,,
2025-06-26 16:46:09,,,,
2025-06-26 16:46:19,,,,
2025-06-26 16:46:29,,,,
2025-06-26 16:46:38,,,,
2025-06-26 16:46:48,,,,
2025-06-26 16:46:58,,,,
2025-06-26 16:47:07,,,,
2025-06-26 16:47:17,,,,
2025-06-26 16:47:27,,,,
2025-06-26 16:47:37,,,,
2025-06-26 16:47:46,,,,
2025-06-26 16:47:56,,,,
2025-06-26 16:48:06,,,,
2025-06-26 16:48:15,,,,
2025-06-26 16:48:25,,,,
2025-06-26 16:48:35,,,,
2025-06-26 16:48:45,,,,
2025-06-26 16:48:54,,,,
2025-06-26 16:49:04,,,,
2025-06-26 16:49:14,,,,
2025-06-26 16:49:23,,,,
2025-06-26 16:49:33,,,,
2025-06-26 16:49:43,,,,
2025-06-26 16:49:53,,,,
2025-06-26 16:50:02,,,,
2025-06-26 16:50:12,,,,
2025-06-26 16:50:22,,0,0,
2025-06-26 16:50:23,0,0,0,
2025-06-26 16:50:24,0,0,0,
2025-06-26 16:50:28,,,,
2025-06-26 16:50:39,0,0,0,
2025-06-26 16:50:40,0,0,0,
2025-06-26 16:50:41,,,,
2025-06-26 16:50:50,,,,
2025-06-26 16:51:00,,,,
2025-06-26 16:51:09,,,,
2025-06-26 16:51:19,,,,
2025-06-26 16:51:29,,,,
2025-06-26 16:51:38,,,,
2025-06-26 16:51:48,,,,
